DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
07/03/2019,180523,184069,33033,32018,32315,36583,44722,4027,1347
08/03/2019,173151,173332,33155,18763,41575,26704,47905,3882,1336
09/03/2019,159644,151660,33562,25101,25031,25236,37424,3972,1320
10/03/2019,147845,161195,33464,44432,27408,20791,29388,4523,1168
11/03/2019,166770,166748,32854,41271,36936,22104,28499,3808,1266
12/03/2019,177482,185176,33138,25343,60012,29366,33237,2743,1326
13/03/2019,174764,178078,33019,16226,53024,31446,37757,5229,1358
14/03/2019,176320,176957,32953,14267,54948,29209,40696,3523,1351
15/03/2019,176004,169006,33148,7548,52483,28668,41238,4545,1361
16/03/2019,167620,182597,33403,39145,44565,20660,40493,3110,1200
17/03/2019,147811,143274,33452,8493,37431,18761,38423,5479,1220
18/03/2019,166647,170009,32967,35897,36717,21850,35732,5677,1160
19/03/2019,171500,178819,33239,35378,46607,22501,36060,3888,1127
20/03/2019,174107,173666,33117,20107,54967,23624,37763,2879,1201
21/03/2019,174284,173595,32969,9984,56177,29868,39907,3452,1220
22/03/2019,169092,179882,32855,14668,54310,33847,37146,5825,1223
23/03/2019,159703,174942,33069,39340,41235,19627,34951,5477,1237
24/03/2019,143407,143999,33146,5211,45059,16367,36733,6304,1160
25/03/2019,161812,154314,33024,21186,41274,18610,33684,5369,1152
26/03/2019,174601,165828,33372,21505,49121,22489,35592,2551,1191
27/03/2019,171353,170676,33147,25338,49799,18010,37461,5679,1226
28/03/2019,172061,168480,32862,7074,56613,24435,39749,6502,1228
29/03/2019,170335,158512,32843,6499,49943,23709,38709,5584,1210
30/03/2019,157201,140148,32883,8552,37982,17680,35895,5973,1166
31/03/2019,135509,125637,31938,2995,35069,14832,33193,6468,1119
01/04/2019,162512,157012,32846,18031,47707,14449,36790,5982,1177
02/04/2019,170165,174955,33193,39350,44228,14332,38289,4343,1206
03/04/2019,169636,154654,33053,11821,47918,14817,39895,5943,1188
04/04/2019,169618,154464,32725,17015,42802,14440,40342,5914,1199
05/04/2019,169302,173963,32968,40079,39695,14204,39858,5933,1206
06/04/2019,159867,157707,33390,20991,42531,13925,41309,4389,1142
07/04/2019,145110,147105,33428,16807,40690,13829,37888,3342,1093
08/04/2019,165838,154559,32869,12617,49523,13645,41602,3099,1178
09/04/2019,169149,160490,33203,24499,43419,13549,40982,3607,1202
10/04/2019,166496,150327,33057,3738,51422,13176,43964,4017,919
11/04/2019,172151,157667,32862,6360,56880,13785,44619,2081,1064
12/04/2019,169510,156495,32907,7109,56246,13703,42258,2948,1281
13/04/2019,162516,155728,33229,22759,47173,14100,35393,1835,1201
14/04/2019,148747,161692,33410,41696,35666,13944,33768,2137,1049
15/04/2019,168102,184805,32915,44792,48492,16898,36372,4408,904
16/04/2019,171800,186842,32954,42646,46540,17029,40659,6081,909
17/04/2019,173861,172999,33140,5557,65221,18906,45227,3707,1211
18/04/2019,174637,175612,32698,14795,61767,14828,47174,2983,1329
19/04/2019,170954,164574,33027,8447,56114,14989,45459,5197,1318
20/04/2019,158456,165094,33337,19720,47148,14986,43123,5602,1160
21/04/2019,140754,143465,33343,8586,41177,14957,38923,5354,1094
22/04/2019,164165,153440,32751,8760,48703,15035,42456,4559,1146
23/04/2019,171243,169770,32871,16106,54438,14969,46969,3202,1185
24/04/2019,171527,177825,32863,26010,46068,17147,48381,6133,1186
25/04/2019,165249,167143,32983,23159,45807,14470,42972,6603,1115
26/04/2019,146581,162950,33265,23382,42521,13844,42300,6573,1032
27/04/2019,140828,159112,33307,36899,33769,13577,35518,5070,938
28/04/2019,118321,142946,33301,31794,31202,13377,27157,5155,927
29/04/2019,118616,142687,33315,15659,46431,15775,25423,5182,864
30/04/2019,134083,143270,32838,13761,48385,16227,27769,3356,907
01/05/2019,142098,170206,33209,52671,40181,15543,23722,3908,934
02/05/2019,152801,155711,32766,7498,62674,11743,34323,5668,999
03/05/2019,150999,150336,22698,9695,62880,11452,36164,6358,1058
04/05/2019,145595,149498,16365,17075,60786,11398,37734,5178,938
05/05/2019,135372,162326,16374,48268,51756,11157,30522,3304,921
06/05/2019,157909,167446,15986,39334,60236,11390,37008,2635,827
07/05/2019,166113,177406,16230,22560,75642,12337,46947,2597,1057
08/05/2019,164100,181450,15979,32841,72991,11094,43392,3896,1231
09/05/2019,164062,166491,15976,14190,73579,11119,45344,4962,1298
10/05/2019,166282,169479,16057,9458,80357,11621,47696,3094,1166
11/05/2019,150448,147755,16377,2327,71460,10742,40307,5572,942
12/05/2019,133781,133216,16388,3902,62254,10268,33384,6468,528
13/05/2019,154329,145127,16024,4314,70398,10532,37200,5870,760
14/05/2019,163792,158912,16321,13596,74290,10984,41529,1474,683
15/05/2019,163409,173206,16066,29510,73950,10883,39381,2669,718
16/05/2019,164260,158569,16144,8301,79671,11223,39800,2649,750
17/05/2019,159623,150694,16209,10229,70937,11194,37443,3897,775
18/05/2019,147862,156332,16321,23476,71499,11121,27502,5659,755
19/05/2019,133034,146759,16348,8004,75567,10846,29047,6354,579
20/05/2019,153778,171092,15931,32455,77630,10519,29563,4189,781
21/05/2019,154354,157054,16212,12426,78791,10969,32323,5548,749
22/05/2019,155481,166309,16043,18659,83017,10987,31265,5540,768
23/05/2019,157125,175319,15998,17422,90572,15856,29627,5057,760
24/05/2019,156037,159875,16002,9110,89918,11038,28392,4570,805
25/05/2019,144010,160910,16264,12147,90918,10972,24797,5209,564
26/05/2019,128968,151619,16299,8293,85256,10623,24200,6338,579
27/05/2019,150672,167317,15935,15859,86329,10610,33051,4844,653
28/05/2019,156606,182610,16273,37446,80525,10097,32148,5456,637
29/05/2019,158037,163910,16022,7803,86639,10652,35906,6154,705
30/05/2019,158484,153289,15822,3711,85023,10938,31582,5424,745
31/05/2019,156765,158407,15912,9844,85196,10938,32111,3629,749
01/06/2019,140718,150125,16169,13900,76395,10298,28557,4183,592
02/06/2019,130677,146768,16107,8685,80457,10066,25539,5349,529
03/06/2019,153642,159635,15950,9806,89738,10165,29620,3784,542
04/06/2019,156457,161536,16125,8431,90558,10084,31641,4074,603
05/06/2019,158563,158402,15970,5154,89309,10275,32611,4461,609
06/06/2019,155882,154716,15725,3747,88282,10253,30870,5204,624
07/06/2019,159128,161753,15789,2535,91941,10060,30816,9939,667
08/06/2019,154432,167462,24609,1734,90506,10136,30916,8968,572
09/06/2019,135124,161776,32895,10758,74765,9653,27235,5909,529
10/06/2019,157399,177079,32646,19099,80694,9784,28458,5711,659
11/06/2019,162795,186763,32843,24807,83298,10249,30718,4148,670
12/06/2019,164126,182108,32629,14276,86970,9802,31979,5836,586
13/06/2019,167386,185262,32433,10737,88626,9768,36665,6372,626
14/06/2019,167790,188363,32562,14498,87181,9681,37457,6373,586
15/06/2019,153260,176168,33077,13840,79251,9309,34141,5778,737
16/06/2019,138944,164794,33027,7559,74236,8994,34373,5838,736
17/06/2019,143214,171052,32969,11244,74155,9254,37168,5490,743
18/06/2019,165786,179566,32476,11200,81096,9831,39101,5208,626
19/06/2019,169653,174039,32452,7326,79232,9706,38817,5618,857
20/06/2019,168666,173946,32275,7846,75469,15064,36786,5559,920
21/06/2019,166447,166192,32506,2357,76375,9936,38695,5367,924
22/06/2019,154811,166925,32772,4650,76516,9243,37037,5741,930
23/06/2019,142169,157484,32679,3599,73536,6523,34665,5558,899
24/06/2019,160602,166030,32119,7212,74162,9482,37474,4421,1125
25/06/2019,167791,184313,32454,29248,75083,9705,31790,4882,1124
26/06/2019,169550,186262,32234,22131,77070,9384,37861,6386,1162
27/06/2019,170194,183604,32057,10088,76486,19174,38719,5964,1084
28/06/2019,163197,187381,32065,34842,68379,10323,35166,5431,1126
29/06/2019,143328,166960,32407,24554,61030,9137,32539,6199,1062
30/06/2019,135250,157897,32465,16653,58967,8975,33531,6405,877
01/07/2019,164447,176664,31952,8086,68674,21510,39065,6290,1062
02/07/2019,174854,184341,31954,8675,71215,24023,41205,6168,1076
03/07/2019,172250,172588,31917,12582,58140,23023,40486,5294,1121
04/07/2019,167314,164530,31848,10537,53681,22187,39363,5860,1058
05/07/2019,165856,171534,31829,12276,56769,23256,40606,5677,1098
06/07/2019,152634,156814,32299,6846,50412,22387,37388,6440,1040
07/07/2019,140914,153070,32256,18565,45426,14872,35599,5349,975
08/07/2019,159435,160892,31538,19497,47109,20652,35731,5309,1037
09/07/2019,161030,153833,31724,3977,50024,22122,40699,4208,1064
10/07/2019,160128,152664,32078,5621,49440,20697,39828,3903,1078
11/07/2019,157929,154689,32038,21342,43793,18082,32967,5385,1058
12/07/2019,156651,150582,32012,6557,48386,18357,38429,5764,1077
13/07/2019,146274,139830,31540,6508,40693,16083,39344,4660,980
14/07/2019,133379,133349,31979,6216,40911,15496,34740,3047,935
15/07/2019,154049,140024,32318,8876,39419,15666,38575,4122,1030
16/07/2019,157689,142955,32283,4008,41097,18928,39960,5605,1039
17/07/2019,160411,142349,32105,3399,41168,18480,39898,6203,1070
18/07/2019,161463,151753,32061,10586,39589,23255,39177,5985,1086
19/07/2019,163290,150616,32404,9706,41290,23791,36607,5653,1155
20/07/2019,146313,134778,32581,7069,35105,16646,36575,5697,1087
21/07/2019,138882,128081,32545,4771,39239,9460,35150,5823,1063
22/07/2019,163798,147070,32434,3549,46200,20702,37587,5500,1075
23/07/2019,163965,152357,31754,12716,39373,25803,37709,3838,1141
24/07/2019,162995,157928,31262,18208,39246,25267,37481,5414,1024
25/07/2019,164374,156746,31740,15110,39230,25080,39162,5267,1138
26/07/2019,165949,156774,32033,8116,42906,25769,40964,5784,1172
27/07/2019,154005,147701,32263,13343,35902,19131,40504,5475,1055
28/07/2019,143009,135432,32232,11254,35976,9540,39684,5761,990
29/07/2019,160927,145842,31811,4794,42581,21372,40936,3220,1125
30/07/2019,166153,151833,32196,4443,42079,25133,41408,5403,1163
31/07/2019,169018,156546,31989,11358,40748,24711,41592,4980,1147
01/08/2019,166012,146613,31781,9800,33976,24577,41597,3801,1068
02/08/2019,162588,139912,31993,2600,31600,25669,41559,5353,1118
03/08/2019,151456,126422,32148,12788,26841,10763,39235,3492,1111
04/08/2019,134549,141639,32261,36827,23055,9470,34069,4797,1134
05/08/2019,152463,130908,31812,5164,32745,16883,37351,5766,1174
06/08/2019,155774,139458,32207,2656,39437,17007,41002,5898,1232
07/08/2019,161838,152854,32001,19730,35299,19556,39177,5806,1268
08/08/2019,166123,151100,31845,29329,30538,15828,36980,5261,1302
09/08/2019,165780,144804,32027,8651,36740,20988,40030,5073,1283
10/08/2019,154752,144953,32185,6662,34110,24008,40874,5875,1222
11/08/2019,144656,130280,32213,8077,33882,10126,38656,6133,1190
12/08/2019,166450,147052,31765,7398,38552,22070,40089,5879,1291
13/08/2019,171533,152799,31738,10290,37057,24496,41716,6216,1263
14/08/2019,166959,146544,31787,3995,39782,25633,38771,5355,1211
15/08/2019,142937,132676,32125,26136,27703,10984,30712,3935,1063
16/08/2019,145960,134780,32255,19364,33184,13902,30348,4619,1085
